Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
mag_av_lemma_freq,0.10652546489316266,0.15279921843818697,0.10598632277356262,Not significant
mag_av_construction_freq,-0.12990194522190607,0.12176863855561383,0.03428189120380443,Significant (higher in literal) but small effect
mag_av_lemma_construction_freq,0.1639741744802175,0.034852616207002786,0.022361993413018585,Significant (higher in metaphorical) but small effect
mag_av_approx_collexeme,-0.04879140857719248,0.5570324976508066,0.07476612958992217,Not significant
mag_av_faith_verb_cue,-0.22792791585665834,0.004073608891708395,0.0010433528290830758,Significant (higher in literal) but small effect
mag_av_faith_const_cue,0.11059945127806085,0.19002515165348388,0.7682412622267711,Not significant
mag_av_delta_p_verb_cue,-0.21696960303551566,0.006691006467852766,0.005418714132508971,Significant (higher in literal) but small effect
mag_av_delta_p_const_cue,0.03325713236917746,0.6928304818277837,0.37887122532710804,Not significant
mag_av_lemma_freq_log,0.10051259711368181,0.19451644953722125,0.058589546264633065,Not significant
mag_av_construction_freq_log,-0.1866799720618462,0.025995693446254367,0.009246476087885857,Significant (higher in literal) but small effect
mag_av_lemma_construction_freq_log,0.05515166087739527,0.4823919407104712,0.2974120169444211,Not significant
mag_av_lemma_freq_type,0.6786861002230793,1.805123805732991e-17,1.812416555733439e-18,Significant (higher in metaphorical) but small effect
mag_av_construction_freq_type,0.47716257207116497,8.32032964863504e-09,3.742022335653047e-09,Significant (higher in metaphorical) but small effect
mag_av_lemma_construction_freq_type,0.6857592795996031,1.8961837451752694e-16,1.6596592460307904e-19,Significant (higher in metaphorical) but small effect
mag_av_approx_collexeme_type,0.08260543479634469,0.3310569205794698,0.7894710508264646,Not significant
mag_av_faith_verb_cue_type,0.42995119244378427,7.763882108726097e-08,1.4622344013473187e-07,Significant (higher in metaphorical) but small effect
mag_av_faith_const_cue_type,0.31365066271992026,0.00027471697610675927,0.001759863620432087,Significant (higher in metaphorical) but small effect
mag_av_delta_p_verb_cue_type,0.4103041305852847,3.379781404797909e-07,4.1455040918013174e-07,Significant (higher in metaphorical) but small effect
mag_av_delta_p_const_cue_type,0.2021865787134393,0.018596076523958165,0.16731163081003786,Not significant
mag_collexeme_ratio,0.07201071839066787,0.38508835782488027,0.409203660485261,Not significant
mag_collexeme_ratio_type,0.21202914393491334,0.011235934437491239,0.02954418545888759,Significant (higher in metaphorical) but small effect
mag_lemma_ttr,0.8621526611893684,8.520531976704467e-26,2.2941480082535155e-21,Significant (higher in metaphorical) but small effect
mag_construction_ttr,0.8620125907261884,9.582267843676046e-26,1.2214003091227628e-21,Significant (higher in metaphorical) but small effect
mag_lemma_construction_ttr,0.8208243208765107,1.5518669831279612e-23,8.087069282355628e-20,Significant (higher in metaphorical) but small effect
mag_lemma_attested,-0.06463534194847798,0.4417832208028899,0.511359939903292,Not significant
mag_construction_attested,-0.1772309288140834,0.02372542410776632,0.062475348724673224,Not significant
