Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
COCA_fiction_bi_prop_10k,0.24380946318090171,0.0010868484906422862,0.0021408352900994404,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_20k,0.2428834245800281,0.001131197281623094,0.0024172616033668335,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_30k,0.22759086138553708,0.0023141574423817097,0.005407456381307463,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_40k,0.21913706714627457,0.0033073113073532816,0.008923902005394821,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_50k,0.22091589241946946,0.003086217807328528,0.008801196156868555,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_60k,0.21759261273397368,0.0035155974355568077,0.00978810197890831,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_70k,0.21093537791653633,0.004584122889338314,0.011084584518320036,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_80k,0.21383102793906578,0.004137046833638584,0.009864986597224816,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_90k,0.21638264064766852,0.003747939988557671,0.009228285953108765,Significant (higher in metaphorical) but small effect
COCA_fiction_bi_prop_100k,0.2194214872015997,0.0034079154336126237,0.008888688209731571,Significant (higher in metaphorical) but small effect
COCA_Magazine_Bigram_Frequency,-0.1469104195959268,0.05237819405859382,0.024897981081021127,Significant (higher in literal) but small effect
COCA_Magazine_Bigram_Range,0.00946603125136606,0.9024251446209439,0.9464453194242529,Not significant
COCA_Magazine_Bigram_Frequency_Log,0.1127373960826142,0.1341591613731936,0.2239193570728737,Not significant
COCA_Magazine_Bigram_Range_Log,0.13768208021394285,0.06607146466100251,0.12089782963208628,Not significant
COCA_magazine_bi_MI,-0.12807181496556388,0.10030713720210685,0.22034043799903347,Not significant
COCA_magazine_bi_MI2,0.02504068006908653,0.741816938862199,0.6454639035354344,Not significant
COCA_magazine_bi_T,-0.06320986370081055,0.4241144309916315,0.41227590012258164,Not significant
COCA_magazine_bi_DP,-0.2956500410061344,0.00037641464138143314,0.0008459641505791039,Significant (higher in literal) but small effect
COCA_magazine_bi_AC,-0.14604909855276277,0.054876010106188235,0.022322363552746,Significant (higher in literal) but small effect
COCA_magazine_bi_prop_10k,0.14425014624861893,0.05446926232900113,0.14046651885967637,Not significant
COCA_magazine_bi_prop_20k,0.12060374081187278,0.11217033290518164,0.25405215149855187,Not significant
COCA_magazine_bi_prop_30k,0.0917744191535749,0.2229697552664833,0.4744506346430142,Not significant
COCA_magazine_bi_prop_40k,0.07418002763922582,0.3273403989913918,0.6454639035354344,Not significant
COCA_magazine_bi_prop_50k,0.06295521980341533,0.40383418137226934,0.6841983063041183,Not significant
COCA_magazine_bi_prop_60k,0.07023658246146762,0.352419427222175,0.521086351859769,Not significant
COCA_magazine_bi_prop_70k,0.07042756777979126,0.35397139760975904,0.5197719418243634,Not significant
COCA_magazine_bi_prop_80k,0.07196638167227909,0.34287154445085155,0.4603872139955426,Not significant
COCA_magazine_bi_prop_90k,0.06895188967252405,0.36453777922876685,0.48494010077359306,Not significant
COCA_magazine_bi_prop_100k,0.07135566774435058,0.3464178723531204,0.5132256406531782,Not significant
COCA_News_Bigram_Frequency,-0.16184222304088866,0.03293676281461951,0.017059372323482064,Significant (higher in literal) but small effect
COCA_News_Bigram_Range,-0.017498547573134432,0.8214540439422009,0.6782576066841639,Not significant
COCA_News_Bigram_Frequency_Log,0.10892803337132295,0.15059411472855755,0.29803843737853064,Not significant
COCA_News_Bigram_Range_Log,0.1343408842808189,0.0747345056359417,0.1333401659418563,Not significant
COCA_news_bi_MI,-0.06389543297421252,0.4157894161431235,0.6276400505989764,Not significant
COCA_news_bi_MI2,0.05580768279955078,0.46153084473046546,0.4361477873394124,Not significant
COCA_news_bi_T,-0.07413576099484503,0.3508256178239355,0.2814338604479232,Not significant
COCA_news_bi_DP,-0.27778783004735397,0.0008482100131709863,0.0018721679501719096,Significant (higher in literal) but small effect
COCA_news_bi_AC,-0.1613396123718158,0.03388346467002466,0.015297602170057857,Significant (higher in literal) but small effect
COCA_news_bi_prop_10k,0.16796378614571983,0.02469091188311513,0.1173795149693193,Not significant
COCA_news_bi_prop_20k,0.1308476573171953,0.07986559262574554,0.3244807458149337,Not significant
COCA_news_bi_prop_30k,0.1312026799695857,0.08097161711678198,0.32084749682481617,Not significant
COCA_news_bi_prop_40k,0.11719723233970172,0.12296905839806449,0.4365456540652237,Not significant
COCA_news_bi_prop_50k,0.10654435943007662,0.16260954459053048,0.4972635809545676,Not significant
COCA_news_bi_prop_60k,0.11182556609860055,0.14199131137613275,0.4149752950025857,Not significant
COCA_news_bi_prop_70k,0.10480077105018193,0.16960497685350082,0.4501970159912042,Not significant
COCA_news_bi_prop_80k,0.10440913887902425,0.17312542474249143,0.4534439000998053,Not significant
COCA_news_bi_prop_90k,0.09583701808362782,0.21187861449641238,0.4603872139955426,Not significant
COCA_news_bi_prop_100k,0.09944981667246372,0.19554178040364745,0.3637029853489576,Not significant
COCA_spoken_Bigram_Frequency,-0.11093868041285784,0.14530894728286947,0.10554951547625818,Not significant
COCA_spoken_Bigram_Range,0.06643675618737377,0.3830886864362153,0.3925512995778806,Not significant
COCA_spoken_Bigram_Frequency_Log,0.15243519764629623,0.04280290431678674,0.07847251869890297,Not significant
COCA_spoken_Bigram_Range_Log,0.16940201649634692,0.02392731949781278,0.04294410628290179,Significant (higher in metaphorical) but small effect
COCA_spoken_bi_MI,-0.06400066868768345,0.412613639265201,0.6377304973888817,Not significant
COCA_spoken_bi_MI2,0.1295644918300396,0.09056481873220067,0.11286512696648339,Not significant
COCA_spoken_bi_T,-0.0028315545234905686,0.9705733259662301,0.9485952276886008,Not significant
COCA_spoken_bi_DP,-0.28931596648379587,0.00048716078731115024,0.0005507706835999312,Significant (higher in literal) but small effect
COCA_spoken_bi_AC,-0.08800112859429951,0.24625854653356227,0.1987813916729566,Not significant
COCA_spoken_bi_prop_10k,0.18556983599660148,0.01322929691719317,0.03248890081653315,Significant (higher in metaphorical) but small effect
COCA_spoken_bi_prop_20k,0.1650800335923065,0.02908179790135702,0.07812951050967036,Not significant
COCA_spoken_bi_prop_30k,0.15992886610676907,0.03604490545534684,0.09088275931972674,Not significant
COCA_spoken_bi_prop_40k,0.15491367852833654,0.04346476215709787,0.11960901461949654,Not significant
COCA_spoken_bi_prop_50k,0.15721933024359933,0.0417308389367184,0.1002788589915858,Not significant
COCA_spoken_bi_prop_60k,0.14282632018696872,0.06356955396657159,0.12767430215138048,Not significant
COCA_spoken_bi_prop_70k,0.13164485809013587,0.0871247330880243,0.17924322450395092,Not significant
COCA_spoken_bi_prop_80k,0.13321380649533526,0.08570462399756534,0.17002683080776615,Not significant
COCA_spoken_bi_prop_90k,0.13045634977041315,0.09306652209288442,0.16772722034264642,Not significant
COCA_spoken_bi_prop_100k,0.1259930411587579,0.10414030718296842,0.1845461762282251,Not significant
COCA_Academic_Trigram_Frequency,-0.2503745963801792,0.0011930681903130616,0.003922648038372092,Significant (higher in literal) but small effect
COCA_Academic_Trigram_Range,-0.2499419190197526,0.0012554969346904427,0.013801615286031398,Significant (higher in literal) but small effect
COCA_Academic_Trigram_Frequency_Log,-0.25140535381268847,0.001364298510746237,0.007731813597989937,Significant (higher in literal) but small effect
COCA_Academic_Trigram_Range_Log,-0.20300422138298446,0.01066764006547711,0.07598537172166245,Not significant
COCA_academic_tri_MI,-0.10936606602759158,0.1580785362540962,0.5481788443319011,Not significant
COCA_academic_tri_MI2,-0.23054485205534844,0.0033700248841580247,0.057428277949331384,Not significant
COCA_academic_tri_T,-0.249417000663922,0.0013747546946984784,0.01401085368440594,Significant (higher in literal) but small effect
COCA_academic_tri_DP,-0.12108968553944523,0.11870204098772319,0.04273625671702003,Significant (higher in literal) but small effect
COCA_academic_tri_AC,-0.24539535333558699,0.0014495131713255416,0.003292749144658508,Significant (higher in literal) but small effect
COCA_academic_tri_2_MI,-0.13051040466864766,0.08382313904278195,0.18656443527811784,Not significant
COCA_academic_tri_2_MI2,-0.24895321212930127,0.0013371746548337241,0.024082620932845557,Significant (higher in literal) but small effect
COCA_academic_tri_2_T,-0.2988747617465089,0.00014880669854160322,0.0008077444890787644,Significant (higher in literal) but small effect
COCA_academic_tri_2_DP,-0.25354163858756185,0.0012684170886360414,0.005090030365411385,Significant (higher in literal) but small effect
COCA_academic_tri_2_AC,-0.2687592207716056,0.000516352812383257,0.0012034443286687733,Significant (higher in literal) but small effect
COCA_academic_tri_prop_10k,-0.2909608194928235,0.00028268960115801744,0.0001448501690213144,Significant (higher in literal) but small effect
